Country,Country_Code,1/1/1970,1/1/1971,1/1/1972,1/1/1973,1/1/1974,1/1/1975,1/1/1976,1/1/1977,1/1/1978,1/1/1979,1/1/1980,1/1/1981,1/1/1982,1/1/1983,1/1/1984,1/1/1985,1/1/1986,1/1/1987,1/1/1988,1/1/1989,1/1/1990,1/1/1991,1/1/1992,1/1/1993,1/1/1994,1/1/1995,1/1/1996,1/1/1997,1/1/1998,1/1/1999,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018
Myanmar,MMR,164.1647237,166.9966188,167.1344924,161.7344915,166.5009298,169.4913812,175.7593107,182.0787193,189.6701684,195.169372,206.0900453,214.4750957,221.690799,226.62132,233.0126691,235.0140875,228.194487,215.1299269,187.4660722,191.311496,193.8274561,190.0150939,205.8587694,215.8060991,229.3059498,242.3437013,254.7620247,265.7227625,277.7088425,304.3025442,342.1412626,376.8766631,417.9757775,471.4254303,530.7913374,598.0674879,671.4549402,747.1162512,818.6511894,899.2426442,979.05163,1025.892298,1092.056509,1174.054087,1257.483616,1335.203872,1403.767118,1489.171749,1571.907217
Namibia,NAM,,,,,,,,,,,4221.286431,4170.758208,4063.324583,3895.715306,3784.007714,3687.764192,3733.384919,3725.247289,3615.777236,3551.517721,3505.622525,3680.198601,3839.280236,3685.956135,3663.218231,3721.776891,3758.555378,3837.227282,3886.610143,3944.173013,4012.053604,3994.537586,4122.858435,4234.549936,4682.768954,4725.474369,4975.023121,5150.424494,5191.480934,5112.644566,5324.61704,5497.566509,5675.615887,5890.353116,6154.488886,6412.098826,6365.499832,6193.216396,6044.528433
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3016.318613,4034.428026,4362.625952,4921.119111,5467.710474,5889.214348,7508.303679,9358.155524,9141.252537,9648.018316,10183.87811,10910.09828
Nepal,NPL,284.4146114,275.3288838,278.0657129,270.9469548,281.9850149,279.9288913,285.8704231,288.0069884,294.008074,294.2202144,280.8989781,297.3837261,301.5163221,285.7947211,306.2936756,317.7706309,324.9285044,323.2378114,340.4465808,347.0166668,354.2575541,367.107674,371.96946,375.8895839,396.121863,399.6950744,411.1909353,422.4941703,426.3079018,436.5597065,455.2771432,469.1736562,462.5461963,473.9838638,489.5717666,500.2063771,510.6456529,521.743908,547.6987933,567.9059336,592.4010975,612.0325577,642.5204634,670.8378265,711.304347,731.9993357,729.66143,779.2039687,817.446886
Netherlands,NLD,24519.6092,25275.75923,25905.69265,27090.99444,27803.83039,27557.65023,28560.62316,29106.88395,29708.32909,30098.22279,30261.69469,29819.28296,29314.56467,29808.11018,30599.03972,31242.51759,31935.51771,32346.37294,33243.99885,34505.79791,35702.55475,36286.31105,36627.40781,36830.4151,37693.04535,38676.06994,39844.97812,41356.45022,43019.18751,44885.09074,46435.21451,47158.42354,46960.18473,46811.88931,47575.47926,48437.87957,50033.88343,51808.76514,52727.5193,50533.50688,50950.03434,51499.59579,50780.70297,50565.30207,51100.83983,51871.5765,52727.10248,53942.08509,55022.9182
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,20073.00163,20523.9784,21196.45973,22406.93548,23259.75617,22416.60117,22425.51023,21475.79476,21537.01199,22095.53884,22351.23984,23302.07615,23286.23516,23773.67354,24698.68044,24942.95963,25534.93494,25561.60326,25401.22691,25320.35111,25126.05198,23676.60828,23687.75358,24916.06185,25845.52365,26672.55088,27204.40722,27398.45601,27371.4922,28713.56502,29374.113,30214.63507,31084.07435,31867.30378,32663.71532,33369.8055,33903.03487,34600.44523,33961.90169,33552.21253,33692.01083,34216.55833,34786.97398,35409.75479,36174.90523,36770.45593,37319.28612,37678.35684,37997.35398
Nicaragua,NIC,2162.736908,2166.834644,2147.988593,2216.523735,2454.170665,2375.818141,2423.504792,2546.6881,2276.615275,1624.425838,1650.365685,1689.913017,1630.039939,1659.798229,1591.976683,1489.634859,1440.237086,1398.409306,1198.000031,1151.9703,1126.405031,1099.473746,1079.2058,1051.36173,1063.454317,1103.765505,1151.661854,1175.994172,1199.032334,1262.723642,1294.221354,1312.842252,1303.996006,1318.478446,1369.672238,1408.957272,1447.481411,1500.195251,1530.549832,1460.033226,1503.870423,1577.475076,1657.638814,1716.376034,1774.99204,1835.99993,1895.200159,1958.685524,1860.438533
Niger,NER,605.9234973,622.7543053,574.4500329,463.5019209,490.3079906,463.3627551,453.3765519,474.6930779,523.2572413,544.649147,517.3538067,505.751144,499.3909273,462.1777803,373.5065249,390.9080474,403.9205882,392.6360522,407.519928,399.070442,381.8543015,379.0375537,342.8377289,336.2850588,338.0012962,335.0426397,334.6393509,331.9768253,353.8012481,339.4230965,322.7778579,333.3589188,331.0021521,335.9239598,324.0162157,326.2068941,332.450482,330.2686611,348.513183,333.0946392,347.3430407,341.764755,367.6467616,372.1858668,384.9006562,386.3045326,389.9855591,393.6620996,403.4852866
Nigeria,NGA,1700.275336,1897.779879,1915.856356,1970.509978,2134.938979,1969.146351,2086.394339,2146.84923,1962.682007,2034.003392,2059.991278,1741.715028,1581.562266,1373.537169,1324.296747,1367.118747,1332.804867,1339.813403,1400.734024,1390.804949,1515.013257,1482.221263,1512.248435,1444.846342,1383.688661,1348.680651,1370.72593,1376.302499,1377.08974,1350.983834,1383.666051,1429.196527,1607.238267,1682.099989,1791.261545,1857.925564,1919.724203,1993.097411,2072.273486,2179.989416,2292.445156,2350.336824,2384.954171,2476.863878,2563.899969,2563.148864,2456.306188,2412.367125,2396.310914
