Country,Country_Code,population
Sri Lanka,LKA,53000
St. Kitts and Nevis,KNA,183000
St. Lucia,LCA,..
St. Martin (French part),MAF,111000
St. Vincent and the Grenadines,VCT,1106960000
Sub-Saharan Africa,SSF,1106863000
Sub-Saharan Africa (excluding high income),SSA,1106960000
Sub-Saharan Africa (IDA & IBRD countries),TSS,42813000
Sudan,SDN,581000
Suriname,SUR,10251000
Sweden,SWE,8580000
Switzerland,CHE,17070000
Syrian Arab Republic,SYR,9321000
Tajikistan,TJK,58005000
Tanzania,TZA,69626000
Thailand,THA,1293000
Timor-Leste,TLS,8082000
Togo,TGO,104000
Tonga,TON,1395000
Trinidad and Tobago,TTO,11695000
Tunisia,TUN,83430000
Turkey,TUR,5942000
Turkmenistan,TKM,38000
Turks and Caicos Islands,TCA,12000
Tuvalu,TUV,44270000
Uganda,UGA,44391000
Ukraine,UKR,9771000
United Arab Emirates,ARE,66856000
United Kingdom,GBR,329534000
United States,USA,2671248000
Upper middle income,UMC,3462000
Uruguay,URY,33360000
Uzbekistan,UZB,300000
Vanuatu,VUT,28516000
"Venezuela, RB",VEN,96462000
Vietnam,VNM,107000
Virgin Islands (U.S.),VIR,4690000
West Bank and Gaza,PSE,7674533000
World,WLD,29162000
"Yemen, Rep.",YEM,17861000
Zambia,ZMB,14645000
Zimbabwe,ZWE,
